Full    n(H)    Lambda0     Kappa0    Lambda1     Kappa1    Lambda2     Kappa2
        cm-3       um       cm2/g        um       cm2/g        um       cm2/g

 113    1e+05   2.51e+01   4.92e+02   2.51e+01   1.15e+03   2.51e+01   6.36e+02
 114    1e+05   2.93e+01   3.66e+02   2.93e+01   5.45e+02   2.93e+01   4.50e+02
 115    1e+05   3.42e+01   2.73e+02   3.42e+01   7.92e+02   3.42e+01   3.74e+02
 116    1e+05   3.69e+01   2.37e+02   3.69e+01   1.03e+03   3.69e+01   3.60e+02
 117    1e+05   3.98e+01   2.07e+02   3.98e+01   1.29e+03   3.98e+01   3.55e+02
 118    1e+05   4.30e+01   1.80e+02   4.30e+01   1.54e+03   4.30e+01   3.49e+02
 119    1e+05   4.64e+01   1.55e+02   4.64e+01   1.54e+03   4.64e+01   3.18e+02
 120    1e+05   5.41e+01   1.13e+02   5.41e+01   1.09e+03   5.41e+01   2.27e+02
 121    1e+05   6.31e+01   8.97e+01   6.31e+01   7.42e+02   6.31e+01   1.70e+02
 122    1e+05   7.36e+01   7.07e+01   7.36e+01   4.86e+02   7.36e+01   1.26e+02
 123    1e+05   8.58e+01   5.58e+01   8.58e+01   3.04e+02   8.58e+01   9.41e+01
 124    1e+05   1.00e+02   4.46e+01   1.00e+02   1.54e+02   1.00e+02   6.86e+01
 125    1e+05   1.17e+02   3.57e+01   1.17e+02   1.02e+02   1.17e+02   5.34e+01
 126    1e+05   1.36e+02   2.80e+01   1.36e+02   7.13e+01   1.36e+02   4.14e+01
 127    1e+05   1.58e+02   2.22e+01   1.58e+02   5.02e+01   1.58e+02   3.20e+01
 128    1e+05   1.85e+02   1.71e+01   1.85e+02   3.47e+01   1.85e+02   2.40e+01
 129    1e+05   2.26e+02   1.26e+01   2.26e+02   2.27e+01   2.26e+02   1.69e+01
 130    1e+05   3.50e+02   6.50e+00   3.50e+02   1.01e+01   3.50e+02   7.84e+00
 131    1e+05   5.00e+02   3.89e+00   5.00e+02   4.96e+00   5.00e+02   3.92e+00
 132    1e+05   7.00e+02   2.21e+00   7.00e+02   2.53e+00   7.00e+02   2.00e+00
 133    1e+05   1.00e+03   1.27e+00   1.00e+03   1.33e+00   1.00e+03   1.07e+00
 134    1e+05   1.30e+03   8.96e-01   1.30e+03   8.64e-01   1.30e+03   7.01e-01
 135    1e+06   1.00e+00   1.18e+04   1.00e+00   1.04e+04   1.00e+00   1.31e+04
 136    1e+06   1.17e+00   1.03e+04   1.17e+00   8.92e+03   1.17e+00   1.14e+04
 137    1e+06   1.36e+00   8.78e+03   1.36e+00   7.70e+03   1.36e+00   9.80e+03
 138    1e+06   1.59e+00   7.04e+03   1.59e+00   6.54e+03   1.59e+00   8.01e+03
 139    1e+06   1.85e+00   5.54e+03   1.85e+00   5.60e+03   1.85e+00   6.44e+03
 140    1e+06   2.15e+00   4.30e+03   2.15e+00   4.76e+03   2.15e+00   5.08e+03
 141    1e+06   2.51e+00   3.27e+03   2.51e+00   3.97e+03   2.51e+00   3.90e+03
 142    1e+06   2.71e+00   2.86e+03   2.71e+00   3.60e+03   2.71e+00   3.39e+03
 143    1e+06   2.82e+00   2.68e+03   2.82e+00   7.41e+03   2.82e+00   3.61e+03
 144    1e+06   2.93e+00   2.52e+03   2.93e+00   3.14e+04   2.93e+00   6.56e+03
 145    1e+06   3.04e+00   2.36e+03   3.04e+00   3.51e+04   3.04e+00   6.24e+03
 146    1e+06   3.16e+00   2.22e+03   3.16e+00   1.94e+04   3.16e+00   4.34e+03
 147    1e+06   3.29e+00   2.08e+03   3.29e+00   6.22e+03   3.29e+00   2.94e+03
 148    1e+06   3.41e+00   1.95e+03   3.41e+00   3.69e+03   3.41e+00   2.54e+03
 149    1e+06   3.55e+00   1.81e+03   3.55e+00   3.07e+03   3.55e+00   2.32e+03
 150    1e+06   3.69e+00   1.72e+03   3.69e+00   2.22e+03   3.69e+00   2.13e+03
 151    1e+06   3.83e+00   1.64e+03   3.83e+00   2.17e+03   3.83e+00   2.03e+03
 152    1e+06   3.98e+00   1.56e+03   3.98e+00   2.04e+03   3.98e+00   1.93e+03
 153    1e+06   4.30e+00   1.41e+03   4.30e+00   2.07e+03   4.30e+00   1.76e+03
 154    1e+06   4.64e+00   1.27e+03   4.64e+00   2.20e+03   4.64e+00   1.62e+03
 155    1e+06   5.01e+00   1.15e+03   5.01e+00   1.50e+03   5.01e+00   1.42e+03
 156    1e+06   5.41e+00   1.05e+03   5.41e+00   1.35e+03   5.41e+00   1.29e+03
 157    1e+06   5.84e+00   9.82e+02   5.84e+00   2.88e+03   5.84e+00   1.37e+03
 158    1e+06   6.31e+00   9.48e+02   6.31e+00   2.58e+03   6.31e+00   1.30e+03
 159    1e+06   6.81e+00   9.14e+02   6.81e+00   2.39e+03   6.81e+00   1.25e+03
 160    1e+06   7.36e+00   8.80e+02   7.36e+00   1.55e+03   7.36e+00   1.12e+03
 161    1e+06   7.94e+00   8.62e+02   7.94e+00   1.21e+03   7.94e+00   1.06e+03
 162    1e+06   8.58e+00   9.47e+02   8.58e+00   1.11e+03   8.58e+00   1.10e+03
 163    1e+06   8.91e+00   1.25e+03   8.91e+00   1.74e+03   8.91e+00   1.43e+03
 164    1e+06   9.26e+00   1.60e+03   9.26e+00   1.70e+03   9.26e+00   1.72e+03
 165    1e+06   9.62e+00   2.01e+03   9.62e+00   2.77e+03   9.62e+00   2.20e+03
 166    1e+06   9.81e+00   2.20e+03   9.81e+00   5.48e+03   9.81e+00   2.68e+03
 167    1e+06   1.00e+01   2.35e+03   1.00e+01   3.14e+03   1.00e+01   2.58e+03
 168    1e+06   1.04e+01   2.26e+03   1.04e+01   3.48e+03   1.04e+01   2.52e+03
 169    1e+06   1.08e+01   1.99e+03   1.08e+01   5.10e+03   1.08e+01   2.48e+03
 170    1e+06   1.12e+01   1.79e+03   1.12e+01   7.06e+03   1.12e+01   2.56e+03
 171    1e+06   1.17e+01   1.54e+03   1.17e+01   8.52e+03   1.17e+01   2.51e+03
 172    1e+06   1.26e+01   9.95e+02   1.26e+01   8.87e+03   1.26e+01   1.96e+03
 173    1e+06   1.36e+01   8.18e+02   1.36e+01   7.57e+03   1.36e+01   1.60e+03
 174    1e+06   1.47e+01   7.56e+02   1.47e+01   5.81e+03   1.47e+01   1.35e+03
 175    1e+06   1.59e+01   8.68e+02   1.59e+01   4.63e+03   1.59e+01   1.33e+03
 176    1e+06   1.71e+01   1.13e+03   1.71e+01   4.06e+03   1.71e+01   1.51e+03
 177    1e+06   1.85e+01   1.22e+03   1.85e+01   3.70e+03   1.85e+01   1.58e+03
 178    1e+06   2.00e+01   1.02e+03   2.00e+01   3.00e+03   2.00e+01   1.34e+03
 179    1e+06   2.15e+01   8.34e+02   2.15e+01   2.27e+03   2.15e+01   1.10e+03
 180    1e+06   2.51e+01   6.05e+02   2.51e+01   1.25e+03   2.51e+01   7.68e+02
 181    1e+06   2.93e+01   4.56e+02   2.93e+01   5.84e+02   2.93e+01   5.45e+02
 182    1e+06   3.42e+01   3.45e+02   3.42e+01   8.36e+02   3.42e+01   4.51e+02
 183    1e+06   3.69e+01   3.01e+02   3.69e+01   1.08e+03   3.69e+01   4.34e+02
 184    1e+06   3.98e+01   2.63e+02   3.98e+01   1.36e+03   3.98e+01   4.27e+02
 185    1e+06   4.30e+01   2.30e+02   4.30e+01   1.63e+03   4.30e+01   4.22e+02
 186    1e+06   4.64e+01   1.98e+02   4.64e+01   1.65e+03   4.64e+01   3.87e+02
 187    1e+06   5.41e+01   1.45e+02   5.41e+01   1.19e+03   5.41e+01   2.80e+02
 188    1e+06   6.31e+01   1.16e+02   6.31e+01   8.21e+02   6.31e+01   2.11e+02
 189    1e+06   7.36e+01   9.19e+01   7.36e+01   5.41e+02   7.36e+01   1.58e+02
 190    1e+06   8.58e+01   7.32e+01   8.58e+01   3.40e+02   8.58e+01   1.18e+02
 191    1e+06   1.00e+02   5.92e+01   1.00e+02   1.72e+02   1.00e+02   8.65e+01
 192    1e+06   1.17e+02   4.82e+01   1.17e+02   1.13e+02   1.17e+02   6.75e+01
 193    1e+06   1.36e+02   3.88e+01   1.36e+02   7.92e+01   1.36e+02   5.25e+01
 194    1e+06   1.58e+02   3.16e+01   1.58e+02   5.57e+01   1.58e+02   4.09e+01
 195    1e+06   1.85e+02   2.53e+01   1.85e+02   3.84e+01   1.85e+02   3.07e+01
 196    1e+06   2.26e+02   1.95e+01   2.26e+02   2.51e+01   2.26e+02   2.17e+01
 197    1e+06   3.50e+02   1.13e+01   3.50e+02   1.12e+01   3.50e+02   1.01e+01
 198    1e+06   5.00e+02   7.61e+00   5.00e+02   5.50e+00   5.00e+02   5.04e+00
 199    1e+06   7.00e+02   4.56e+00   7.00e+02   2.82e+00   7.00e+02   2.57e+00
 200    1e+06   1.00e+03   2.74e+00   1.00e+03   1.48e+00   1.00e+03   1.37e+00
 201    1e+06   1.30e+03   1.99e+00   1.30e+03   9.62e-01   1.30e+03   8.99e-01
 202    1e+07   1.00e+00   1.07e+04   1.00e+00   9.96e+03   1.00e+00   1.12e+04
 203    1e+07   1.17e+00   1.03e+04   1.17e+00   8.61e+03   1.17e+00   1.03e+04
 204    1e+07   1.36e+00   9.76e+03   1.36e+00   7.51e+03   1.36e+00   9.30e+03
 205    1e+07   1.59e+00   8.76e+03   1.59e+00   6.43e+03   1.59e+00   8.04e+03
 206    1e+07   1.85e+00   7.51e+03   1.85e+00   5.55e+03   1.85e+00   6.76e+03
 207    1e+07   2.15e+00   6.07e+03   2.15e+00   4.75e+03   2.15e+00   5.51e+03
 208    1e+07   2.51e+00   4.62e+03   2.51e+00   3.99e+03   2.51e+00   4.30e+03
 209    1e+07   2.71e+00   4.01e+03   2.71e+00   3.61e+03   2.71e+00   3.74e+03
 210    1e+07   2.82e+00   3.74e+03   2.82e+00   7.18e+03   2.82e+00   3.92e+03
 211    1e+07   2.93e+00   3.48e+03   2.93e+00   2.63e+04   2.93e+00   7.22e+03
 212    1e+07   3.04e+00   3.24e+03   3.04e+00   2.92e+04   3.04e+00   7.12e+03
 213    1e+07   3.16e+00   3.02e+03   3.16e+00   1.81e+04   3.16e+00   5.12e+03
 214    1e+07   3.29e+00   2.81e+03   3.29e+00   6.28e+03   3.29e+00   3.44e+03
 215    1e+07   3.41e+00   2.61e+03   3.41e+00   3.77e+03   3.41e+00   2.94e+03
 216    1e+07   3.55e+00   2.41e+03   3.55e+00   3.14e+03   3.55e+00   2.68e+03
 217    1e+07   3.69e+00   2.27e+03   3.69e+00   2.28e+03   3.69e+00   2.44e+03
 218    1e+07   3.83e+00   2.14e+03   3.83e+00   2.23e+03   3.83e+00   2.32e+03
 219    1e+07   3.98e+00   2.02e+03   3.98e+00   2.10e+03   3.98e+00   2.20e+03
 220    1e+07   4.30e+00   1.80e+03   4.30e+00   2.13e+03   4.30e+00   2.00e+03
 221    1e+07   4.64e+00   1.60e+03   4.64e+00   2.27e+03   4.64e+00   1.83e+03
 222    1e+07   5.01e+00   1.43e+03   5.01e+00   1.55e+03   5.01e+00   1.59e+03
 223    1e+07   5.41e+00   1.29e+03   5.41e+00   1.40e+03   5.41e+00   1.43e+03
 224    1e+07   5.84e+00   1.19e+03   5.84e+00   2.93e+03   5.84e+00   1.51e+03
 225    1e+07   6.31e+00   1.14e+03   6.31e+00   2.65e+03   6.31e+00   1.44e+03
 226    1e+07   6.81e+00   1.09e+03   6.81e+00   2.45e+03   6.81e+00   1.37e+03
 227    1e+07   7.36e+00   1.04e+03   7.36e+00   1.60e+03   7.36e+00   1.23e+03
 228    1e+07   7.94e+00   1.01e+03   7.94e+00   1.24e+03   7.94e+00   1.15e+03
 229    1e+07   8.58e+00   1.09e+03   8.58e+00   1.14e+03   8.58e+00   1.18e+03
 230    1e+07   8.91e+00   1.40e+03   8.91e+00   1.79e+03   8.91e+00   1.53e+03
 231    1e+07   9.26e+00   1.76e+03   9.26e+00   1.74e+03   9.26e+00   1.82e+03
 232    1e+07   9.62e+00   2.21e+03   9.62e+00   2.81e+03   9.62e+00   2.31e+03
 233    1e+07   9.81e+00   2.42e+03   9.81e+00   5.47e+03   9.81e+00   2.82e+03
 234    1e+07   1.00e+01   2.60e+03   1.00e+01   3.20e+03   1.00e+01   2.73e+03
 235    1e+07   1.04e+01   2.56e+03   1.04e+01   3.51e+03   1.04e+01   2.67e+03
 236    1e+07   1.08e+01   2.32e+03   1.08e+01   5.07e+03   1.08e+01   2.64e+03
 237    1e+07   1.12e+01   2.12e+03   1.12e+01   6.94e+03   1.12e+01   2.76e+03
